Domain,StartTime,StartDay,StartHour,PingOutput
gsmarena.com,25:55.2,16,7,131
nl.wikipedia.org,25:55.3,16,7,34
amazon.es,25:55.4,16,7,109
finance.yahoo.com,25:55.5,16,7,Request timed out
brainly.co.id,25:59.4,16,7,14
live.com,25:59.4,16,7,4
twitter.com,25:59.4,16,7,89
pinterest.com,25:59.5,16,7,4
americanas.com.br,25:59.5,16,7,Request timed out
de.wikipedia.org,26:03.3,16,7,35
mail.yahoo.com,26:03.4,16,7,Request timed out
fr.wikipedia.org,26:07.4,16,7,37
id.wikipedia.org,26:07.4,16,7,35
ar.wikipedia.org,26:07.5,16,7,34
as.com,26:07.5,16,7,5
espncricinfo.com,26:07.6,16,7,Request timed out
india.com,26:11.3,16,7,30
mail.ru,26:11.4,16,7,204
amazon.in,26:11.6,16,7,110
mail.ru,26:11.7,16,7,202
amazon.co.jp,26:11.9,16,7,56
ndtv.com,26:12.0,16,7,5
omegle.com,26:12.0,16,7,14
imdb.com,26:12.1,16,7,36
finance.yahoo.com,26:12.1,16,7,Request timed out
hotstar.com,26:15.9,16,7,4
cdc.gov,26:15.9,16,7,Request timed out
aliexpress.com,26:19.9,16,7,117
aliexpress.com,26:20.0,16,7,116
bbc.com,26:20.1,16,7,8
nytimes.com,26:20.1,16,7,5
allegro.pl,26:20.2,16,7,126
pinterest.com,26:20.3,16,7,5
ndtv.com,26:20.3,16,7,5
nike.com,26:20.4,16,7,3
amazon.in,26:20.4,16,7,112
marca.com,26:20.5,16,7,111
espncricinfo.com,26:20.6,16,7,Request timed out
hm.com,26:24.3,16,7,8
goal.com,26:24.4,16,7,Request timed out
espn.com,26:28.4,16,7,8
ikea.com,26:28.4,16,7,14
clevelandclinic.org,26:28.4,16,7,27
microsoft.com,26:28.5,16,7,Request timed out
india.com,26:32.4,16,7,9
bestbuy.com,26:32.5,16,7,45
amazon.de,26:32.6,16,7,111
nih.gov,26:32.7,16,7,Request timed out
bestbuy.com,26:36.3,16,7,32
instagram.com,26:36.4,16,7,3
nike.com,26:36.4,16,7,3
investing.com,26:36.4,16,7,11
detik.com,26:36.4,16,7,267
fandom.com,26:36.7,16,7,4
cricbuzz.com,26:36.7,16,7,253
m.wikipedia.org,26:37.0,16,7,36
instagram.com,26:37.1,16,7,3
as.com,26:37.1,16,7,5
indeed.com,26:37.1,16,7,14
medicalnewstoday.com,26:37.2,16,7,3
cambridge.org,26:37.2,16,7,13
india.com,26:37.2,16,7,5
de.wikipedia.org,26:37.3,16,7,34
